timestamp,topic,packet_type,payload
1789067354.000694,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067353.995705, ""temperature"": 26.0}"
1789067355.0180783,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067355.0140812, ""pump_status"": ""OFF""}"
1789067356.024031,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067356.0211427, ""soil_moisture"": 42}"
1789067357.0283306,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067357.0243459, ""soil_moisture"": 41}"
1789067358.035218,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067358.0322235, ""pump_status"": ""ON""}"
1789067359.0420957,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067359.0381055, ""pump_status"": ""ON""}"
1789067360.0522375,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067360.0482273, ""soil_moisture"": 44}"
1789067361.0691633,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067361.0631664, ""temperature"": 29.8}"
1789067376.745445,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067376.742445, ""pump_status"": ""ON""}"
1789067377.7574947,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067377.7544975, ""soil_moisture"": 34}"
1789067378.772308,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067378.7693179, ""humidity"": 82}"
1789067379.7891607,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067379.779161, ""soil_moisture"": 33}"
1789067380.7998943,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067380.7968955, ""light_intensity"": 363}"
1789067381.8150532,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067381.810055, ""light_intensity"": 695}"
1789067382.824703,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067382.8217206, ""humidity"": 77}"
1789067383.8380063,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067383.835022, ""temperature"": 30.2}"
1789067384.8432577,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067384.8402557, ""light_intensity"": 595}"
1789067385.8582995,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067385.855323, ""pump_status"": ""OFF""}"
1789067386.8630826,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067386.8590844, ""temperature"": 35.8}"
1789067387.8789783,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067387.8749745, ""pump_status"": ""ON""}"
1789067388.8825371,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067388.879529, ""humidity"": 82}"
1789067389.8908873,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067389.8878875, ""light_intensity"": 411}"
1789067390.8968477,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067390.8938386, ""humidity"": 72}"
1789067391.9129438,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067391.910405, ""temperature"": 35.7}"
1789067392.9214349,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067392.9187515, ""pump_status"": ""ON""}"
1789067393.9247425,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067393.922096, ""pump_status"": ""ON""}"
1789067394.9291973,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067394.926197, ""light_intensity"": 389}"
1789067395.9315293,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067395.9285235, ""light_intensity"": 889}"
1789067396.938286,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067396.9347284, ""pump_status"": ""OFF""}"
1789067397.952696,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067397.9501865, ""soil_moisture"": 63}"
1789067399.0624378,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067398.9978526, ""light_intensity"": 798}"
1789067400.0523918,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067400.049399, ""light_intensity"": 711}"
1789067401.055323,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067401.0523233, ""temperature"": 30.0}"
1789067402.058202,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067402.0562062, ""temperature"": 25.4}"
1789067403.0745285,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067403.068525, ""temperature"": 27.9}"
1789067404.0887058,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067404.0860662, ""soil_moisture"": 72}"
1789067405.0932348,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067405.0902312, ""humidity"": 58}"
1789067406.1109195,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067406.0949242, ""light_intensity"": 492}"
1789067407.101137,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067407.0971415, ""humidity"": 79}"
1789067408.103598,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067408.1005921, ""soil_moisture"": 57}"
1789067409.1056128,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067409.1026087, ""light_intensity"": 788}"
1789067410.1107535,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067410.107753, ""light_intensity"": 332}"
1789067411.1225903,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067411.1185968, ""pump_status"": ""ON""}"
1789067412.1350324,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067412.1320362, ""temperature"": 25.2}"
1789067413.1508791,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067413.143966, ""light_intensity"": 856}"
1789067414.1642764,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067414.1607716, ""soil_moisture"": 50}"
1789067415.1806738,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067415.1736674, ""humidity"": 57}"
1789067416.1913433,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067416.188335, ""temperature"": 28.1}"
1789067417.2023246,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067417.197781, ""pump_status"": ""ON""}"
1789067418.2155876,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067418.210151, ""light_intensity"": 763}"
1789067419.2335744,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067419.2285578, ""soil_moisture"": 74}"
1789067420.250436,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067420.2479134, ""temperature"": 25.0}"
1789067421.2560863,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067421.2525573, ""light_intensity"": 435}"
1789067422.2610822,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067422.258387, ""humidity"": 52}"
1789067423.2736173,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067423.2700815, ""humidity"": 85}"
1789067424.285159,farm/light,normal,"{""device"": ""light-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067424.2821531, ""light_intensity"": 865}"
1789067425.2904198,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067425.2874126, ""temperature"": 25.4}"
1789067426.2977135,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067426.2947009, ""humidity"": 76}"
1789067427.302923,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067427.299908, ""temperature"": 32.7}"
1789067428.321028,farm/irrigation,normal,"{""device"": ""irrigation-controller"", ""packet_type"": ""normal"", ""timestamp"": 1789067428.3180196, ""pump_status"": ""OFF""}"
1789067429.3383794,farm/temperature,normal,"{""device"": ""temp-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067429.3343809, ""temperature"": 33.1}"
1789067430.3437157,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067430.341185, ""humidity"": 84}"
1789067431.3548615,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067431.3438597, ""humidity"": 71}"
1789067432.3740952,farm/humidity,normal,"{""device"": ""humidity-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067432.3620932, ""humidity"": 84}"
1789067433.3826485,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067433.379645, ""soil_moisture"": 36}"
1789067434.4230602,farm/soil,normal,"{""device"": ""soil-sensor-01"", ""packet_type"": ""normal"", ""timestamp"": 1789067434.403001, ""soil_moisture"": 80}"
